"PESO","SEXO","EDAD","TALLA"
"1","47,53","femenino",26,"1,49"
"2","57,4","femenino",26,"1,55"
"3","56,75","femenino",26,"1,28"
"4","47,09","femenino",29,"1,48"
"5","65,2","femenino",22,"1,78"
"6","66,21","femenino",30,"1,86"
"7","51,02","femenino",31,"1,84"
"8","57,7","femenino",27,"1,7"
"9","63,07","femenino",25,"1,91"
"10","56,08","femenino",33,"1,96"
"11","65,65","femenino",26,"1,34"
"12","60,84","femenino",20,"1,75"
"13","36,32","femenino",27,"1,44"
"14","59,94","femenino",34,"2"
"15","61,84","femenino",33,"1,18"
"16","42,84","femenino",26,NA
"17","58,79","femenino",34,"1,8"
"18","49,74","femenino",33,"1,55"
"19","56,19","femenino",29,"1,79"
"20","54,19","femenino",30,"1,67"
"21","51,06","femenino",24,"1,46"
"22","44,65","femenino",31,"1,63"
"23","59,11","femenino",30,"1,91"
"24","59,7","femenino",26,"1,5"
"25","61,29","femenino",22,"1,6"
"26","79,21","masculino",35,"1,52"
"27","84,28","masculino",26,"1,57"
"28","87,15","masculino",20,"1,49"
"29","86,97","masculino",20,"1,47"
"30","75,21","masculino",29,"1,18"
"31","79,79","masculino",32,"2,14"
"32","85,74","masculino",21,"2,13"
"33","97,84","masculino",21,"1,7"
"34","82,04","masculino",20,"2,02"
"35","62,71","masculino",21,"2,07"
"36","80,33","masculino",35,"0,78"
"37","100,25","masculino",22,"1,51"
"38","74,91","masculino",25,"1,77"
"39","77,93","masculino",30,"1,68"
"40","84,49","masculino",23,"2,19"
"41","72,49","masculino",26,"1,71"
"42","75,41","masculino",34,"1,95"
"43","66,73","masculino",35,"1,64"
"44","90,97","masculino",34,"1,91"
"45","68,28","masculino",33,"2,18"
"46","88,52","masculino",24,"2,49"
"47","90,52","masculino",29,"1,54"
"48","86,28","masculino",22,"1,62"
"49","80,94","masculino",29,"1,08"
"50","66,9","masculino",22,"1,71"
